,Lyrics,URL
83,High Speed,/lyric/31246888/Coldplay/High+Speed
84,We Never Change,/lyric/5129059/Coldplay/We+Never+Change
85,Everything's Not Lost,/lyric/12783370/Coldplay/Everything%27s+Not+Lost
86,Politik,/lyric/17695851/Coldplay/Politik
87,Daylight,/lyric/35220944/Coldplay/Daylight
88,Green Eyes,/lyric/26356105/Coldplay/Green+Eyes
89,Warning Sign,/lyric/26355562/Coldplay/Warning+Sign
90,A Whisper,/lyric/26356040/Coldplay/A+Whisper
91,A Rush of Blood to the Head,/lyric/35220940/Coldplay/A+Rush+of+Blood+to+the+Head
92,Amsterdam,/lyric/12783376/Coldplay/Amsterdam
93,Square One,/lyric/33249643/Coldplay/Square+One
94,What If,/lyric/30514577/Coldplay/What+If
95,White Shadows,/lyric/33249641/Coldplay/White+Shadows
96,Talk,/lyric/18855103/Coldplay/Talk
97,X&Y,/lyric/33249638/Coldplay/X%26Y
98,Speed of Sound,/lyric/15399675/Coldplay/Speed+of+Sound
99,Low,/lyric/33249635/Coldplay/Low
100,The Hardest Part,/lyric/13059758/Coldplay/The+Hardest+Part
101,Swallowed in the Sea,/lyric/33249633/Coldplay/Swallowed+in+the+Sea
102,Twisted Logic,/lyric/33249632/Coldplay/Twisted+Logic
103,Life in Technicolor,/lyric/14580691/Coldplay/Life+in+Technicolor
104,Cemeteries of London,/lyric/14580692/Coldplay/Cemeteries+of+London
105,Lost!,/lyric/19046304/Coldplay/Lost%21
106,42,/lyric/14580694/Coldplay/42
107,Lovers in Japan/Reign of Love,/lyric/14580695/Coldplay/Lovers+in+Japan-Reign+of+Love
108,Yes,/lyric/14580696/Coldplay/Yes
109,Violet Hill,/lyric/14692481/Coldplay/Violet+Hill
110,Strawberry Swing,/lyric/17664106/Coldplay/Strawberry+Swing
111,Death and All His Friends,/lyric/14580700/Coldplay/Death+and+All+His+Friends
112,Paradise [Tiësto Remix],/lyric/30514801/Coldplay/Paradise+%5BTi%C3%ABsto+Remix%5D
113,Mylo Xyloto,/lyric/30514448/Coldplay/Mylo+Xyloto
114,Hurts Like Heaven,/lyric/24701294/Coldplay/Hurts+Like+Heaven
115,Major Minus,/lyric/36556039/Coldplay/Major+Minus
116,Up in Flames,/lyric/29365377/Coldplay/Up+in+Flames
117,Don't Let It Break Your Heart,/lyric/36695731/Coldplay/Don%27t+Let+It+Break+Your+Heart
118,Charlie Brown [Radio Edit] [Edit],/lyric/28699120/Coldplay/Charlie+Brown+%5BRadio+Edit%5D+%5BEdit%5D
119,Don't You Worry Child,/lyric/28008265/Coldplay/Don%27t+You+Worry+Child
120,Every Teardrop is a Waterfall,/lyric/36874146/Coldplay/Every+Teardrop+is+a+Waterfall
121,Up With the Birds,/lyric/30514435/Coldplay/Up+With+the+Birds
122,U.F.O.,/lyric/30514440/Coldplay/U.F.O.
123,Moving To Mars,/lyric/36556038/Coldplay/Moving+To+Mars
124,M.M.I.X.,/lyric/24536581/Coldplay/M.M.I.X.
125,Up In Flames,/lyric/30514438/Coldplay/Up+In+Flames
126,A Hopeful Transmission,/lyric/24536575/Coldplay/A+Hopeful+Transmission
127,Every Teardrop Is a Waterfall [Single Version] [Version],/lyric/24040878/Coldplay/Every+Teardrop+Is+a+Waterfall+%5BSingle+Version%5D+%5BVersion%5D
128,Til Kingdom Come,/lyric/33249631/Coldplay/Til+Kingdom+Come
129,Life in Technicolor II,/lyric/19350315/Coldplay/Life+in+Technicolor+II
130,A Message [2010],/lyric/18759659/Coldplay/A+Message+%5B2010%5D
131,Lovers in Japan,/lyric/32532686/Coldplay/Lovers+in+Japan
132,Speed of Sound [Edit],/lyric/19568673/Coldplay/Speed+of+Sound+%5BEdit%5D
133,How You See The World No. 2,/lyric/18618683/Coldplay/How+You+See+The+World+No.+2
134,Violet Hill [Album Version],/lyric/14719073/Coldplay/Violet+Hill+%5BAlbum+Version%5D
135,Postcards from Far Away,/lyric/25089815/Coldplay/Postcards+from+Far+Away
136,Glass of Water,/lyric/25089814/Coldplay/Glass+of+Water
137,Rainy Day,/lyric/25089813/Coldplay/Rainy+Day
138,Prospekt's March/Poppyfields,/lyric/25089812/Coldplay/Prospekt%27s+March-Poppyfields
139,Lost+ [With Jay-Z],/lyric/19165830/Coldplay/Lost%2B+%5BWith+Jay-Z%5D
